Sr. No,Title,Company,City
0,Senior Data Science Engineer,NetApp,Bangalore/Bengaluru
1,Data Science - Fresher | Client of Ruboid | Bangalore,RUBOID TECHNOVISION PRIVATE LIMITED,Bangalore/Bengaluru
2,Analyst/ Sr. Analyst- Data Science (2+ Years),CRESCENDO GLOBAL LEADERSHIP HIRING INDIA PRIVATE L IMITED,"Pune, Bangalore/Bengaluru"
3,Cluster Manager - Data Science & Engineering Unit,Bajaj Finserv,Pune
4,Data Science Intern - DataTrained,Data Trained Education,"Noida, Bangalore/Bengaluru, Delhi / NCR"
5,Data Science,Capgemini Technology Services India Limited,Mumbai
6,Senior Business Analyst - Data Sciences and Advanced Analytics,Vmware,Bangalore/Bengaluru
7,Data Science Intern,Valence Health,Pune
8,Data Science Fresher,Myna Solutions,Hyderabad/Secunderabad
9,Senior Data Science & Analytics Platform Engineer,GlaxoSmithKline Pharmaceuticals Limited,Bangalore/Bengaluru
10,Senior Data Science & Analytics Platform Engineer,GlaxoSmithKline Pharmaceuticals Limited,Bangalore/Bengaluru
11,Technical Lead -- Data Science,Mindtree Limited,Bangalore/Bengaluru
12,Data Science Analyst,Cigna TTK,Bangalore/Bengaluru
13,Data science/Machine Learning trainer_Part time_Anywhere in india,Synergistic Compusoft Private Limited,"Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)"
14,Data Science Engineer/ML Engineer,Patterns7 Technologies,Pune
15,Analyst Data Science Analytics,Empower Retirement,"Bangalore/Bengaluru, Remote"
16,Senior Big Data Engineer (Data Science/ML),Integral Ad Science,Pune
17,Team Lead/ Sr. Scientist- Analytics & Data Science,Global Analytics India Pvt. Ltd,"Chennai, Delhi / NCR"
18,Data Science Application Developer,Accenture Solutions Pvt Ltd,Bangalore/Bengaluru
19,Data Science Team Lead - Retail,Shell India Markets Private Limited,Chennai
