Sr. No,Title,Company,City,CTC,Exp,Rating,Reviews
0,Data Science Team Lead - Retail,Shell India Markets Private Limited,Chennai,Not disclosed,8-10 Yrs,4.1,(665 Reviews)
1,Lead Data Science,Reliance Jio Infocomm Ltd.,Mumbai,Not disclosed,14-15 Yrs,4.0,(9951 Reviews)
2,Data Science,Capgemini Technology Services India Limited,Mumbai,Not disclosed,6-8 Yrs,3.6,(12360 Reviews)
3,Data Science,Capgemini Technology Services India Limited,Mumbai,Not disclosed,4-6 Yrs,3.6,(12360 Reviews)
4,Data Science - B1,Capgemini Technology Services India Limited,Mumbai,Not disclosed,2-5 Yrs,3.6,(12360 Reviews)
5,Data Analyst - Life science/Pharma (SAS/R/SQL/Tableau/BI),Datazymes,Bangalore/Bengaluru,Not disclosed,3-6 Yrs,3.5,(2 Reviews)
6,Analyst-Data Science,Accenture Solutions Pvt Ltd,Mumbai,Not disclosed,3-5 Yrs,4.0,(18222 Reviews)
7,Analyst-Data Science,Accenture Solutions Pvt Ltd,Mumbai,Not disclosed,3-5 Yrs,4.0,(18222 Reviews)
8,Data Science Advanced Application Engineer,Accenture Solutions Pvt Ltd,Bangalore/Bengaluru,Not disclosed,8-10 Yrs,4.0,(18222 Reviews)
9,Data Science Advanced Application Engineer,Accenture Solutions Pvt Ltd,Bangalore/Bengaluru,Not disclosed,6-8 Yrs,4.0,(18222 Reviews)
10,Data Science Manager,Infosenseglobal,"Gandhinagar, Pune",Not disclosed,8-13 Yrs,2.8,(19 Reviews)
11,Manager Data Science,Reliance Jio Infocomm Ltd.,Bangalore/Bengaluru,Not disclosed,5-6 Yrs,4.0,(9951 Reviews)
12,Data Science Architect (ML/NLP) - Referral,Quality Engineering  Software Technologies Pvt. Ltd.,Trivandrum/Thiruvananthapuram,Not disclosed,6-10 Yrs,3.3,(731 Reviews)
13,Data Science Engineer - Statistical Modeling/ Machine Learning,Lera Technologies Pvt. Ltd,India,Not disclosed,7-12 Yrs,3.7,(9 Reviews)
14,Application & Automation Manager Data Science,RGF Professional Recruitment,Bangalore/Bengaluru,Not disclosed,5-10 Yrs,2.8,(3 Reviews)
15,Data Science Application Lead,Accenture Solutions Pvt Ltd,Bangalore/Bengaluru,Not disclosed,6-8 Yrs,4.0,(18222 Reviews)
16,Data Science Associate Consultant,ZS Associates,New Delhi,Not disclosed,3-3 Yrs,3.8,(385 Reviews)
17,Data Science Consultant,ZS Associates,"Pune, Pune",Not disclosed,5-5 Yrs,3.8,(385 Reviews)
